nombre,apellido,cargo,foto_url,wikidata_id,provincia,bloque,partido,mandato,mandato_inicio,mandato_fin,fuente_url,fuente_nombre,ministerio
Giselle,Castelnuovo,diputado,https://parlamentaria.hcdn.gob.ar/image/27277670718_20251127091254000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Jorge,Chica,diputado,https://parlamentaria.hcdn.gob.ar/image/20275742253_20231128101110000_small.png,,San Juan,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Abel,Chiconi,diputado,https://parlamentaria.hcdn.gob.ar/image/23320336813_20251202090052000_small.png,,San Juan,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Gerardo,Cipolini,diputado,https://parlamentaria.hcdn.gob.ar/image/20056678558_20231128100953000_small.png,,Chaco,UCR - UNIÓN CÍVICA RADICAL,UCR - UNIÓN CÍVICA RADICAL,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Carlos,Cisneros,diputado,https://parlamentaria.hcdn.gob.ar/image/20162164040_20200206125401_small.png,,Tucuman,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Mariela,Coletta,diputado,https://parlamentaria.hcdn.gob.ar/image/27345125391_20231128100429000_small.png,,Ciudad de Buenos Aires,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Facundo,Correa Llano,diputado,https://parlamentaria.hcdn.gob.ar/image/20268386131_20231218135336000_small.png,,Mendoza,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Ricardo,Daives,diputado,https://parlamentaria.hcdn.gob.ar/image/20080476842_20231207100702000_small.png,,Santiago del Estero,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Fernando,de Andreis,diputado,https://parlamentaria.hcdn.gob.ar/image/20249775461_20251127113216000_small.png,,Ciudad de Buenos Aires,PRO,PRO,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
María Graciela,de la Rosa,diputado,https://parlamentaria.hcdn.gob.ar/image/23113647604_20251126100940000_small.png,,Formosa,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Natalia,de la Sota,diputado,https://parlamentaria.hcdn.gob.ar/image/27248854265_20211216102711000_small.png,,Cordoba,DEFENDAMOS CÓRDOBA,DEFENDAMOS CÓRDOBA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
María Florencia,De Sensi,diputado,https://parlamentaria.hcdn.gob.ar/image/27332948895_20251128092414000_small.png,,Buenos Aires,PRO,PRO,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Nicolás,del Caño,diputado,https://parlamentaria.hcdn.gob.ar/image/20279217714_20251204140140000_small.png,,Buenos Aires,PTS-FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,PTS-FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Romina,Del Plá,diputado,https://parlamentaria.hcdn.gob.ar/image/27226680565_20251127120203000_small.png,,Buenos Aires,PARTIDO OBRERO EN EL FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,PARTIDO OBRERO EN EL FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
